,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
area0,13.678037640325778,47.779077723043244,98.88962873284908,141.99113475177305,165.3109929078014,147.97028985507248,96.468462823726,25.995488361323098,22.12597600921687,27.170312926212677,39.65637212835897,49.45875013817737,53.399382536615946,46.39635726751727,47.84088944456851,52.60810355263833,47.700455077723944,41.526174767856254,44.75544018853684,37.11705838321321,30.752905698114674,24.351657400230586,19.809549710200276,10.255406055001645
area1,16.25,59.0625,76.0625,76.39285714285714,72.78571428571429,83.27272727272727,62.85,28.15499730965833,31.912718253968254,50.08578042328042,71.35309523809522,81.73239171374766,97.23139628732851,78.29431444991788,78.79713083213086,100.81485068603712,86.61734126984128,64.22678571428573,68.46304232804232,82.09823412698412,86.08599677158999,90.94158312447789,87.58333333333333,57.2452380952381
area2,5.236784297850441,23.81960618085618,35.58645167093443,75.4245493677697,101.97801587301586,146.02673611111112,118.92240079365082,46.45613166811117,38.09441287064485,63.87124000350602,74.69158099507382,78.99908715322411,81.2878518109938,68.41085447148485,58.04372652563167,55.27413446992842,51.54539811982497,44.73891602511844,46.24280214854548,38.250147013813034,27.503504790251853,23.260165272529814,18.592891084616227,7.664495699324212
area3,3.1129032258064515,22.96551724137931,29.33333333333333,37.59090909090909,52.333333333333336,91.25,132.55,117.17955974842766,143.4932624113475,108.32991506544137,117.51238902340597,169.33159013605442,196.539417989418,197.25629251700678,197.40760233918124,245.4657407407407,214.49452380952383,225.72212885154062,253.46666666666667,201.82672955974846,203.29905660377355,132.15849056603776,83.07403846153846,38.2932098765432
area4,17.294436813186817,59.209832451499125,83.86914893617023,106.63793103448276,118.88809523809525,115.84188034188034,87.65441176470588,20.568144017661044,17.506452155959508,21.989757097931125,32.23710365414313,35.897732637804246,46.86325534050574,36.23528075102572,35.797332423195435,40.88693787192627,39.29299767777516,27.93134206716056,27.961829735365477,29.447155050258765,22.385150715440968,17.96948431649476,15.665060616771145,12.674934833684835
area5,18.974890530925016,73.94929078014184,131.8311965811966,140.65625,143.91666666666666,151.4569892473118,103.46041666666666,32.11142496392496,53.833778305028304,44.20378359113654,59.31962631867043,89.69908713971212,118.3317889055389,87.50282682079705,94.69168431292074,119.64856897731897,112.65929329886373,107.58532208532209,118.80657490657491,99.84988254392665,82.93479587542089,67.45225820475821,50.17585789210789,24.000863128640905
area6,8.921702244116037,53.68606934001671,84.65740740740739,111.71156462585034,112.88095238095238,118.93434343434343,103.01937984496125,38.552858992859,47.7187153124653,55.89141948329449,80.39078285298294,109.50536264661265,127.53449723887222,96.43908991471491,104.2499221462089,115.79989556739558,129.98424214674213,111.00539897602395,115.58490712990711,99.71629851629854,81.85692893163481,68.87997123247123,47.23880654068152,18.97471109698382
area7,5.0,33.285714285714285,43.69230769230769,63.44444444444444,47.125,58.5,54.06896551724138,51.87093023255814,67.10555555555555,64.23246753246754,74.86757575757575,95.59,126.92735849056605,132.23342490842492,132.61172839506176,133.68108974358975,127.81274509803922,101.93848484848485,134.25354609929076,101.08529411764707,99.12287581699344,88.28125,48.82333333333333,22.793209876543212
area8,31.013756613756616,62.20987841945289,95.84714285714286,126.03535353535355,91.64227642276423,85.546875,58.62980769230769,17.746420829830466,13.589435326221986,19.363731556899122,27.34557866110498,37.39932101395337,36.69761042198541,30.399275808112883,34.70761184005765,40.968664738039735,38.55291789229289,29.687135932588294,21.585927676258894,18.932649055164536,21.479822284197283,22.65939148814149,17.922651049930458,19.00485236985236
area9,15.25166666666667,74.86767676767677,79.71249999999999,115.27272727272727,116.61594202898551,114.32608695652172,102.0239837398374,46.383650483226745,63.6564997964998,49.941515341956524,72.07430585618087,91.01173400673403,89.15157819032821,86.28115363802863,89.54548581048581,98.38419913419912,91.34636076886078,77.99613192363192,96.78571428571429,67.34541458541459,72.24112854737855,54.47003908128909,43.45375541125542,23.234038800705477
area10,0.5,5.9375,17.8,26.333333333333332,26.0,23.0,17.0,20.821839080459768,28.848484848484848,46.468468468468465,51.600476190476186,62.26666666666668,75.18452380952381,72.78703703703704,81.71196581196581,95.43589743589743,102.94736842105264,77.13407407407406,68.55982905982906,78.34722222222223,56.384408602150536,70.33870967741936,47.229166666666664,26.26923076923077
area11,13.014737274220032,43.73888888888889,63.649514991181654,108.32962962962964,107.86403508771932,123.63888888888889,96.20108695652173,48.51166917717267,47.91446396196396,61.459563584563575,74.0082642085583,99.55849016122619,109.27646036081795,101.30722080880363,104.01423420441886,105.88636191162102,110.81863686708888,114.31562038594934,140.77767738525097,91.08279556092056,82.60337069707039,72.01363149785945,52.19439840617472,20.575538548752835
area12,6.245465986255459,18.629613534613544,42.657738095238095,65.62585034013605,74.37340425531914,87.82592592592593,58.20181818181819,34.441568374507604,31.801362610720854,46.80538314974748,54.25549988365049,47.84350758040294,49.76524302043663,44.725675482513665,39.00094769629807,37.55714452952774,38.71569255794425,32.76041093752206,33.55917701608963,26.30610149149032,21.08139578377927,18.816148508397237,16.62724165185602,7.26561986114049
area13,13.010854399837452,60.03988095238096,115.8561157796452,175.37482269503542,189.94622641509434,175.8776515151515,97.30229885057469,22.58363224064419,18.67626782438132,18.902476804608913,27.66536891647882,38.29052706752327,43.94752561501543,34.132209278720914,33.469567544036664,38.00600656221131,36.79000350158346,27.418774890588885,25.29221003832375,24.29214012881553,23.74527477930878,18.684573963522592,13.63620550056374,9.265787940478528
area14,4.611851851851852,38.35057471264367,59.746376811594196,60.640625,72.5,74.38888888888889,57.717592592592595,47.09933333333334,102.545,78.15806878306879,104.99334140435836,146.78758503401363,175.02088554720135,164.49584656084662,154.43823412698418,209.61825396825392,183.48104984683934,235.07953216374273,223.99,199.5437908496732,134.16949404761903,106.07712418300653,60.18814102564101,22.682268170426063
area15,14.780701754385968,79.19642857142857,90.5763888888889,106.6125,86.97368421052632,105.4294871794872,119.75231481481484,73.28875661375663,93.77611411736412,75.24585012210011,95.48261278481866,146.6093978526182,142.86014249639254,123.10930796055794,150.14804033066747,148.0614583333333,136.75808413808414,149.9411970899471,164.42143759018762,129.6343075905576,120.71962604250744,117.1021589991929,75.1730637657362,27.762535014005604
area16,0.8,3.5,11.0,12.0,12.0,,11.0,9.555555555555555,13.63888888888889,21.675,39.5,52.28333333333333,66.04761904761905,72.21739130434783,79.66666666666667,91.41666666666667,61.96875000000001,67.96666666666665,56.96153846153846,43.63333333333333,33.5,31.833333333333332,20.666666666666668,17.625
area17,8.513513513513516,46.892857142857146,59.38888888888889,75.84210526315789,58.78282828282829,56.38,41.74810606060606,14.936062271062275,17.97763722388722,20.027602767602776,42.33359367484367,76.52226190476193,72.70448112073112,50.01672336922338,62.0830501905502,85.00408083296017,81.17141878836794,65.87009319384318,70.8841402116402,70.69008971254733,82.1528853914447,91.98716707021792,80.58043290043288,50.86201298701299
area18,5.212962962962963,20.0,25.6,33.0,27.916666666666668,28.166666666666668,28.285714285714285,32.07608695652174,43.869496855345915,63.35320512820513,89.04262820512821,89.71388888888887,87.91224489795918,82.89715956558061,73.5640804597701,78.69008658008657,80.07901234567902,63.26121212121213,62.64233333333333,66.63263888888889,63.08720930232558,45.601937984496125,41.65277777777778,23.790123456790123
area19,10.316624702489307,45.64160401002506,62.46371252204586,116.61434108527135,135.75340909090912,145.84989517819704,103.26573129251702,37.33377905276125,25.94635768128181,28.931070165573818,42.88497201599806,43.263171410819254,41.491837416221074,36.1551731731005,33.440036223187015,31.749093235877254,31.766592376164624,25.38765387896925,24.289134497459575,20.319872081906055,16.008384772088057,14.016781821379897,11.446306965959092,6.369726565827472
