,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
area0,14.197749042145594,42.56709133945976,78.2450467687075,109.73226950354609,109.88333333333331,109.05797101449274,68.1768282312925,20.755997142620604,20.86149667283804,23.239876522555168,34.13774960650791,46.10378301943579,55.94526310177399,42.62804705351583,44.59178302551072,48.204702880772246,49.012171721825354,41.05635652026452,39.711370563218516,36.61029297125913,27.65621837220687,26.418988247788434,19.58285539424867,11.895625624375622
area1,16.528985507246375,46.541666666666664,47.0,46.65,45.0,39.111111111111114,38.9,17.88164856585909,33.65781544256121,38.11951170298627,67.32460317460317,82.61174055829228,104.55916666666668,60.45005291005291,86.10476190476192,103.00994152046783,99.73418079096045,75.5019374782306,60.81009920634919,90.37815934065935,90.55408805031445,97.24060606060605,70.64751773049646,35.29545454545454
area2,5.001667354600004,25.067073065823067,36.91999579124579,59.62211460855528,102.9191823899371,145.72057502246182,121.63462823725982,39.06157415977269,36.35738620125729,54.027940720967905,67.45216602616443,66.81375655015172,73.54864424052333,61.19025130575796,55.24221889011189,52.671538725771626,49.21348162373525,37.641740769808834,31.66685911004919,28.216181270319563,27.174914067810633,18.466129741473008,13.249618518452884,7.827237192821373
area3,1.7142857142857142,16.597826086956523,22.4,22.666666666666668,29.416666666666668,65.3111111111111,104.5,88.6829861111111,121.67424242424244,90.46666666666665,99.80915435139575,151.0681286549708,157.0293209876543,145.83128654970764,243.19482758620686,242.3941520467836,237.01492673992672,244.10901027077497,214.65522875816995,156.6107638888889,155.4437908496732,105.848,67.32738095238095,22.277777777777775
area4,15.350324675324675,46.54248366013071,66.42276422764228,97.47135416666666,73.04166666666667,80.32828282828284,59.960666666666675,13.772517991037429,15.853150140199707,17.312123727759946,27.13689486258113,33.28930191948574,50.880985033485025,37.42832234923373,34.62814309944728,42.43220737595738,40.883551356051356,31.140059114288984,31.49437646711448,27.918618730126084,30.203310967355083,21.686253399378405,19.10093338850692,14.93847962382445
area5,13.806022408963589,68.02191358024692,100.66666666666667,116.59343434343435,101.56770833333333,98.02777777777779,88.41702127659575,30.9344956832245,47.19264730639732,36.82097358924759,56.91265094926861,84.76488617863616,97.96815281940283,76.03870472747394,81.80870191627547,100.0793659118659,106.7528704002969,99.26615625115625,110.30993450993451,104.94158401783403,94.88548197173199,60.5623995911496,44.91457616729676,27.83739892183289
area6,12.998660714285714,45.68774891774891,66.37061994609164,91.90447154471545,94.24824561403508,89.36805555555554,73.34429824561404,38.50540503557744,46.13392436267436,43.16937537000037,71.00134537976645,101.03671250046249,122.01138167388169,86.5579762829763,90.48219467351822,123.82888421763424,123.53847527472523,112.21680897805895,99.26905293780287,97.464072932717,86.81879296629296,81.60766233766232,52.28316197691198,20.088652319902323
area7,2.175,19.153846153846153,34.8,37.6,34.5,35.38461538461539,32.5,32.094573643410854,35.108547008547006,32.858138528138525,60.9705,82.95868055555555,91.67320261437908,87.64234693877552,108.85,122.47051282051281,119.5060975609756,116.83194444444445,102.00625,89.10833333333332,76.83508771929826,59.30113636363637,42.80392156862745,26.162878787878785
area8,18.710714285714285,60.94810606060606,94.53030303030303,110.3125,88.44407407407407,91.58333333333333,76.37636363636365,18.66646883209383,16.875901776671903,16.9989799741309,26.88644737708399,55.93765618232531,45.857716436183914,33.023316145999964,36.7783733804322,44.29485897272662,48.9410356351165,31.656925973278526,23.302302103569524,25.781782720275373,30.070949074074072,20.359737438487436,22.49973605098605,21.86613300492611
area9,12.31925925925926,56.65714285714286,67.66666666666667,87.475,81.44117647058823,80.46031746031747,79.37857142857143,31.88897263450835,52.10001984126985,46.17916997354497,63.62673100048097,90.18368386243385,107.23698713323714,79.1428403078403,90.30385681040093,119.88606532356533,126.15113095238094,75.5610294797795,68.97428571428571,73.6408116883117,65.66546236171237,50.78848533763789,63.76551724137932,31.908503401360544
area10,2.0,5.5625,8.25,15.5,14.5,11.25,13.3,15.108695652173912,25.82183908045977,30.670634920634917,42.39122807017544,71.3125,81.07894736842105,70.17619047619047,81.87373737373737,86.42929292929294,83.21428571428571,73.42105263157895,61.81617647058823,53.73529411764705,48.72988505747126,34.61666666666666,29.44,11.8
area11,12.05,57.63004329004329,80.91866666666668,100.44507575757576,102.87291666666667,95.6936936936937,85.6171171171171,55.04158670033671,61.12698620823622,52.69955195976481,91.92390054390056,94.61554468407411,113.46447853072854,100.6607596421367,94.84499743398156,100.01324236801211,108.69777253691728,119.34264109672003,108.58795260295261,85.30720938375353,81.16081124893623,56.4710804935805,46.78063172938173,21.841853979353978
area12,4.357620693147009,19.807449178501813,39.869396551724144,60.89716312056737,61.63983739837399,69.00347222222221,52.96666666666667,24.911917196045277,27.620460116347772,41.12741349643984,45.249520094634335,44.91350273697813,50.08605190598873,45.67234485042761,41.7615875206138,37.99423152685909,33.04936322330041,28.567715027433067,25.334941400395017,22.784598974154218,19.62079008423512,14.91019851399638,14.331704864450993,6.671740129423955
