,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
area0,9.157630819472924,46.59847323110035,93.3990566037736,123.15032679738563,129.65851063829786,134.73856209150327,89.23974603174604,22.80562159939018,20.240839174176283,25.334181062783298,38.59555832614333,50.44199498321596,58.37920199590285,46.23617886027627,45.61226511092108,50.06269488525923,51.658892244625775,44.906935000700486,41.26352699221865,39.30489731326062,35.29990826005494,26.461154476134386,21.318590537037338,11.1686997942145
area1,9.9,35.42592592592593,49.28125,54.583333333333336,54.15384615384615,46.125,47.48076923076923,20.929848729425007,32.313452380952384,38.98531746031746,76.85636288998357,104.4921592775041,107.36821853741492,77.34675685425685,124.23045977011495,112.44460180623976,111.91604116222764,84.49757869249395,74.20171509281677,96.72873563218387,106.97729437229434,80.12469135802468,72.95384615384616,43.93103448275862
area2,5.3820585361046565,26.369720695970692,46.889185305435305,86.84519774011298,119.86860119047618,168.7165694849368,121.10555555555555,45.403513630547295,41.00456837272997,64.047011317547,74.65912750551593,73.17783132778058,85.37111882855145,71.15628245678498,62.03835637946866,57.575319517237624,54.16155096646689,40.79876660287404,34.98511158902259,29.524271607929546,26.276424612500428,18.672393434622897,13.988641192819914,7.063629501692746
area3,2.8015873015873014,23.810344827586206,31.145833333333332,44.333333333333336,54.77777777777778,97.5,117.93478260869566,110.35653594771242,133.4673611111111,99.22694083694084,129.05169491525422,178.42312925170066,199.0212962962963,218.25004409171072,234.7619352869353,244.48954248366007,262.92295597484275,223.82327044025158,204.16055555555553,184.21666666666664,164.57833333333335,130.55588235294118,82.11394557823131,31.782608695652176
area4,15.089780005569482,65.36366666666667,87.95934959349593,127.78125,93.00396825396825,102.04285714285714,73.24337068160598,16.737874694105333,18.314752591967384,18.026561181560844,35.49834471356529,41.88440916110034,47.49299178490356,38.273266690095255,36.54364761502937,40.68956456147052,38.770844671632716,29.838272383790965,30.221471653847814,42.04729177140942,26.821673441081334,25.606921203796205,23.078769841269843,16.03469567156008
area5,15.736111111111112,67.61632653061226,114.81300813008131,129.61574074074076,141.93103448275863,156.02777777777777,109.71699999999998,34.97099872820211,45.08051911051909,40.16185893226141,66.02510406475189,87.66221607096607,116.08326294076294,84.88001986439487,98.90256958319456,112.53205754213108,124.37024281274284,103.18948431198432,122.41615500240499,122.55528083028081,99.06141444203945,75.44287851037852,49.16527176527177,25.22042063492063
area6,10.7484552154195,51.92283950617284,78.46698113207547,113.21317829457362,125.41441441441441,131.03535353535352,108.53598484848484,35.368173493173494,46.529659324879916,47.53953071302336,74.19449703074702,129.0889499852,118.68242613867618,100.39654456382397,104.64063714063714,119.94293035668038,139.27636303511306,112.73625365375366,98.7807711950359,105.26803511303511,82.18315963697319,71.54153126965626,52.27983752358752,22.517993319811495
area7,5.090909090909091,33.266666666666666,40.833333333333336,55.3125,53.5,51.5,48.37435897435898,42.21111111111111,48.017857142857146,53.05602836879434,70.6029411764706,135.56802721088437,127.31737588652481,124.16538800705466,135.011175898931,139.89311594202897,130.6228260869565,128.04147286821706,139.8409090909091,117.79351851851851,93.17129629629629,70.73245614035088,57.09234234234235,28.946969696969692
area8,18.342283950617283,73.82074074074075,111.62254901960785,125.33333333333333,109.9594696969697,112.41891891891892,83.00540935672515,17.778586028694388,16.268610396492175,19.5017490937805,34.08748911899648,41.31612463652905,48.30779338716839,35.04921611362207,35.261424697378644,44.287323641772176,36.634514560874855,30.916853671927196,26.195373169142517,32.01847476597475,32.99530363155363,28.112260147260148,27.130090274649096,22.568670971213347
area9,14.751893939393938,67.68750000000001,103.39516129032258,119.5,107.69047619047619,117.16666666666666,97.2625,33.79479437229437,59.70976016320845,50.74014351389352,71.37283938283939,106.2297451159951,96.77764069264066,86.3495886983387,93.15681096681098,117.06576229796566,101.05136058386057,77.70047767047767,79.63688117438116,87.64811507936507,78.85353354978353,66.36226310726312,50.587023809523814,24.35856129685917
