,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
area0,13.717282431620667,51.80501683501682,98.27824302134646,171.76524822695038,189.85782312925173,224.24551282051283,163.19909090909096,71.31010461760462,34.00379660925453,41.53803791517223,52.90343100734548,47.60558204857698,50.219082706923174,46.61739446488365,42.685603238725484,48.25004750971723,53.53783496538098,47.54647623866614,41.558936406405955,38.10118666484488,33.586422343652224,31.213164224764466,22.988315091484594,10.418028244903242
area1,22.70277777777778,78.0220588235294,101.925,93.3,96.5,92.76923076923077,77.82142857142857,53.64935897435897,43.76701058201059,42.73621872477804,56.50669312169313,66.82982142857142,80.9765211640212,78.26766474266476,89.23394841269841,121.72595785440613,131.29597222222222,125.38575396825397,131.8775,122.44116222760292,107.96372180451125,104.94619883040936,98.0114814814815,49.267156862745104
area2,5.0233974876669745,18.893696337560502,35.064327744695404,64.81019841269841,96.51026272577995,106.95973266499581,126.88226600985223,75.64191246606502,48.137408742716396,60.652531005973735,72.53479070986013,67.38552939698918,64.79205889534958,61.69003431415174,51.8743806490357,47.863574062245824,44.756680688161694,37.52101074161703,35.04584445363201,30.661577149264758,24.86568226884189,19.972961482769776,14.74671522987163,7.179811958241626
area3,2.619369369369369,20.678571428571427,38.47023809523809,44.18421052631579,54.857142857142854,103.16666666666667,122.58974358974359,145.64468085106384,128.09379084967324,119.6795454545455,131.0683908045977,171.5233333333333,174.50229741019214,203.6072681704261,214.6362994350283,230.303869047619,230.85333333333335,240.00651117589894,237.18750000000003,214.3369281045752,142.946316262354,135.80718954248366,92.71148148148147,33.57843137254902
area4,14.047916666666667,48.23868363437329,95.835,118.63513513513513,120.60416666666669,131.7121212121212,105.17234848484848,43.19329432337907,26.58640897365162,31.182914724164732,39.784323700107365,45.70005667506442,49.76573037306977,40.52639818786879,39.55109640190676,43.26175891703756,36.50414702435794,31.154148221884878,26.41454316426234,29.532334347225984,21.06245628153523,19.227351190476195,19.293640803640802,14.236534839924676
area5,15.92929292929293,90.0037037037037,147.7683673469388,202.1425438596491,193.2797619047619,244.25806451612902,190.27592592592595,77.71553571428572,61.25641756391756,57.099951992451984,81.0736235986236,77.98139309764306,88.66201927701925,83.35676136728767,95.58995075050221,112.56771219521221,123.1683096369861,113.63332416608729,110.77773939267361,92.23949420949423,73.83864228364227,61.01698778073778,45.94092379842379,21.69001470227885
area6,8.459766383042245,47.86888888888889,84.12323554421768,113.16671428571432,124.72170542635662,160.10256410256412,163.5720930232558,82.4310359231412,60.25405723905724,76.2118055093055,76.60195263070264,84.79102610352612,101.60826370388871,91.15225847681731,97.4357975357975,116.89735507139918,107.69439435564435,105.48699215136713,110.48402578902578,93.66122844747842,81.86542873792875,70.80823112073112,45.46530182780183,21.564328155504633
area7,4.517241379310345,39.0,67.75,81.4,90.5,81.0,84.17647058823529,51.314529914529906,69.41111111111111,83.27083333333334,92.12925170068029,107.76489361702127,114.19135802469135,132.17484276729562,130.09420289855072,189.57045454545457,149.20748299319726,167.52777777777777,157.07520325203254,135.020325203252,125.21969696969698,96.95757575757575,55.355158730158735,19.508333333333333
area8,16.45218962585034,76.50225694444444,120.08541666666667,159.46913580246914,126.59259259259258,132.66458333333335,114.92142857142858,54.166804140848264,27.047768467915528,34.1157260740349,42.11661433681556,47.687768661793434,45.43102105897771,35.42196202686802,35.282186305077964,39.88936400229743,36.43638350254836,27.1123478149149,22.96654426183839,19.467475244555356,17.97561666274902,20.528489948017807,17.5951332001332,14.076805555555554
area9,19.29722222222222,84.0,137.99122807017545,156.28333333333333,156.38194444444446,155.8846153846154,153.81770833333334,92.25224358974357,63.754867724867715,72.44648453398456,76.59584836459838,91.56046393421391,104.92748325121207,98.27927114280057,94.74879065379064,91.48470478595478,115.75669222491257,103.72749729437228,106.28507180202094,106.14584776334776,72.27466676841676,74.28734788359789,49.515634920634916,36.87499999999999
area10,1.6,17.8,27.25,37.0,35.0,33.0,31.75,33.61666666666667,36.468518518518515,40.19166666666666,52.94517543859649,86.17171717171718,85.0390243902439,74.49185185185183,91.99593495934958,113.71717171717171,132.73648648648648,104.3578431372549,94.5891472868217,79.32882882882883,60.90350877192983,55.216049382716044,51.82692307692308,21.59375
area11,10.709844619666049,55.46485068603714,80.83421516754852,122.21496598639459,127.44369369369367,154.0,123.96958333333332,88.82844914031357,60.691023328523336,71.96977390664891,73.24014618007263,86.46888403263405,88.74074483795074,81.83099729561806,80.86987381763113,102.58705615462966,106.13654741092242,98.08264559027717,98.85248876123875,92.9098756457967,87.17851010101012,66.00537467162468,54.27153138528139,28.062344104308384
