,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
area0,9.526267082304235,43.683542106042104,81.59049603174603,145.98616071428572,175.76699999999997,172.7251633986928,139.72001594896332,45.68700754447079,29.70508502007109,34.547889540379515,41.09792642088483,43.44492939655392,48.975624805570504,48.34684025785772,47.33470345017887,50.58171538176734,55.06443147791705,43.035017045370246,40.73091505754636,39.04750008930289,34.91038717350089,26.002826303644426,20.621543373665666,10.918272767680666
area1,17.982558139534884,64.63636363636364,83.88194444444444,95.04545454545455,94.71875,99.66666666666667,90.55092592592592,42.36399331662491,60.01394179894179,49.60461580086579,68.54023809523808,72.59416005291006,94.20865079365079,88.93748015873017,90.26647161689533,111.19954184704184,88.39603858784892,103.06865203761755,77.99348484848483,94.83746268099716,107.42588781275222,100.3456937095826,95.973,76.46712962962962
area2,5.050612267412005,21.053878537040298,34.16840539820804,59.34169857919858,83.90283935413244,126.00498015873016,174.50197740112998,61.36404577061357,44.96361933839916,63.72613766578774,72.24959363100356,63.664831930460686,55.54942750702535,60.199631752295744,52.49789873380417,56.25339269908819,53.24050237817981,39.716664458068934,36.36060846018893,29.555187000469076,26.403342901588005,20.092077979130085,16.769681641525587,7.809859306387562
area3,3.8950617283950613,26.4,38.80769230769231,46.66666666666667,76.3076923076923,104.29166666666667,141.34782608695653,124.98055555555555,138.18263305322128,138.33630952380955,149.47216748768471,169.3081569664903,181.05981116584564,157.00159414340447,193.7964935064935,217.11234567901232,222.7395061728395,185.2960144927536,196.5470663265306,185.07866666666666,185.6590828924162,166.09674908424907,78.08692810457516,47.84615384615385
area4,9.993405732198838,59.57495708314674,121.6775,167.42592592592592,132.18561710398444,154.06578947368422,127.77843137254904,40.81437052226526,28.136052411640645,33.39604204633228,38.01160602963429,42.12888978367695,48.58744096997775,40.83480437904814,41.415017969846915,45.17626734240706,45.836489801048614,38.20077738982773,28.962511640895084,27.936038616918456,25.618445418259743,20.8627358944232,19.28039525289525,13.57480704480704
area5,16.627736006683374,90.04672619047618,161.19938271604934,214.69629629629628,225.52205882352942,241.13072916666667,200.7173202614379,85.91420806124198,83.81090428090425,69.96781994808312,85.03641402578901,90.34067737574314,114.88883905038318,101.45523222556314,101.2365509131105,126.38109996484995,114.9630235273985,117.78691049691047,117.86574178136675,111.48532768157766,94.55890336515338,68.91583106708107,49.26613261738262,23.756149091998147
area6,9.569226061636774,48.437969576719574,82.51956550981973,101.55173160173159,149.15066666666664,176.2663043478261,176.17753623188406,81.86809474050855,59.19265401265401,63.78079362358774,73.94752576127577,85.09851155652625,112.87128046245697,100.12708142390804,97.63027842527843,127.87428201428202,146.78724241036744,114.75543630797308,108.41263592888592,86.56711783314724,78.65638347763345,73.0441104728605,52.50879833129833,16.723283095505316
area7,8.214285714285714,54.67361111111111,86.73529411764706,123.6,110.18181818181819,110.41666666666667,106.28260869565217,81.31856060606061,99.64583333333333,110.12724358974359,142.0386524822695,130.38024691358027,149.99228395061724,163.19779874213836,173.5467320261438,173.01757575757574,178.44074074074072,167.14481481481482,152.02551020408163,121.7320162107396,116.71541666666667,104.35271317829458,79.40760869565219,40.52564102564102
area8,26.175977891156464,82.75251082251081,136.47588652482273,175.0632183908046,174.86830065359476,159.0212765957447,111.94753086419753,42.00523254523254,26.61567451511337,33.11590859676386,43.53557005086418,47.2704177398682,49.529963526397346,34.82879928445084,31.370536976201024,39.62635311662595,42.44680821765381,35.852659851400176,26.680636289593334,23.46048027701859,25.604053552656485,23.430418562918568,22.33676772301772,18.643459844752947
area9,15.898809523809522,98.95833333333333,147.9375,170.47701149425285,195.02083333333334,202.40384615384616,178.1232558139535,81.64244663382595,81.36837503362928,75.73408105783105,86.92119570636518,94.5825532800533,107.15200826950826,89.7393117068117,88.2921867946868,113.39452209827208,114.28117123617122,86.18909872534874,76.73662642912642,74.73880605505606,72.66024951899952,60.56998829873829,47.80133597883597,26.666529304029307
area10,1.8333333333333333,15.583333333333334,32.5,35.4,36.666666666666664,31.071428571428573,39.0,34.91954022988506,36.071839080459775,59.69298245614034,68.63125,78.57207207207207,102.58114035087719,103.98873873873873,97.83823529411765,121.03225806451613,97.25833333333333,83.38039215686274,69.43693693693693,77.30787037037037,63.166666666666664,57.75252525252525,37.672413793103445,23.433333333333334
area11,12.996269343683139,65.94657477025899,101.50988700564973,137.58805031446542,162.3079861111111,186.69858156028366,148.68714285714287,81.56296050692605,67.33900432900433,69.42877237414002,84.8855183242683,93.15157643962792,113.3058821546244,102.55988012188477,82.58290291836883,101.46272698846909,112.77108066812788,112.89185597082655,97.4305221715419,95.43397114917819,93.04339084526582,74.78038470788469,58.7390447977948,20.903117150339373
area12,5.040520882478018,16.014640012765017,34.55180555555555,56.65842636895268,89.28212121212121,109.79711538461538,89.99766081871343,51.51214984089983,35.594753367964586,45.34049653000724,44.81481845700877,45.063339800834456,39.344379605385896,39.77102008022535,37.75182886256572,36.48871688514616,35.651431472958876,28.60207151473897,25.39002654970927,23.00035065150599,23.824638336327844,20.747430399556755,16.816730698910654,7.977644599552494
area13,9.191108509905218,42.09543484293486,92.51543650793653,160.92766233766233,177.272406462585,185.1182389937107,111.63797208538588,32.55162841107694,23.00480156913623,24.784597147917687,28.594297040711584,31.50323525350625,35.7411407681211,31.04298982194622,31.580886843919423,36.30327648157047,39.137209497799944,29.72541019314766,25.293928982202683,26.699091765888372,24.848657348788322,19.052704592903858,13.78860212072598,8.386339550123102
area14,7.078720238095237,51.38288288288288,106.75,108.4,125.0,124.77272727272727,114.44,86.12588652482272,107.15433333333333,105.22352216748766,137.9263136288998,124.87623224728488,179.72000835421886,152.04586359967715,173.57261208576998,193.8725779967159,218.6301724137931,173.20962401795737,216.71914893617023,176.95410830999066,126.54022988505747,104.68858024691355,71.30280952380951,35.01447368421052
area15,21.647959183673468,121.97051282051282,188.90740740740742,181.62878787878788,182.2173913043478,191.8872549019608,203.72916666666669,119.4906609959242,104.37139249639247,105.53728632478634,140.96548941798943,121.63209776334774,163.24678571428572,142.23207792207793,167.09038875437176,155.30560425685428,152.13927910052914,182.39516534391535,133.59505772005772,122.85778853914447,128.71827475725786,118.53441137566135,71.39104605375792,34.764973544973536
area16,2.5,15.666666666666666,29.4,,37.5,39.25,37.666666666666664,35.53846153846154,40.766666666666666,51.0,56.66666666666666,77.61111111111111,103.68253968253967,114.5,102.0763888888889,98.7628205128205,97.22413793103448,75.5,81.39473684210526,71.0,58.03846153846154,46.8235294117647,27.75,13.666666666666666
area17,16.757575757575758,78.09615384615384,120.5625,129.3095238095238,119.70980392156864,110.88172043010753,90.31170212765957,36.53332538459656,34.17691558441558,35.99483028545527,48.3161198061198,76.76665302290301,95.72031396099193,73.69094167814757,75.33347222222226,122.77932472424,113.6915392015392,85.29737993487993,79.11571548821549,67.64090664514394,71.79791498520314,68.05204365079365,77.31882183908047,39.32364341085272
area18,5.53125,30.5,35.45454545454545,46.333333333333336,36.333333333333336,38.25,39.75,42.355691056910565,51.187414965986406,82.59423076923076,112.74613095238097,101.77237654320989,98.44170843776106,94.6237691686844,93.31135057471263,91.27980442176872,87.90067049808431,66.04606060606059,65.50192307692308,63.66860465116278,77.07978723404256,47.705158730158736,31.495726495726494,17.743055555555557
area19,10.500505017917211,28.135529549426607,66.07926929392445,110.67585034013604,172.66666666666666,132.87953216374268,129.0343567251462,73.06355622454888,31.43193002833491,30.967859874973772,38.77854264540393,36.81963632149097,35.55103122256207,34.43350023427531,31.574839681522153,34.66175815081185,33.33289144254481,25.200684216375684,22.138693369616398,20.988734959300686,16.600151177329877,15.852047266001687,13.099744053234337,8.014384979915167
